Age_Adjusted_Incd_Rate,Unemployment_rate_,Percent of adults completing some college or associate degree,Percent of adults who are high school graduates (or equivalent),Percent of adults who are not high school graduates,Percent of adults with a bachelor's degree or higher
517.0,6.44,19.5,39.5,31.5,9.6
517.0,3.72,29.6,24.5,12.8,33.1
516.9,5.2,20.1,47.5,20.9,11.5
516.8,6.279999999999999,22.2,32.1,27.3,18.4
516.7,4.14,28.4,35.1,13.5,23.0
516.7,6.859999999999999,27.3,41.4,21.2,10.1
516.6,4.58,27.4,31.3,13.8,27.5
516.4,6.85,24.7,35.9,26.6,12.7
516.4,5.08,27.8,33.6,15.4,23.2
516.3,5.21,20.6,35.2,31.1,13.1
516.3,8.059999999999999,15.3,36.7,38.6,9.4
516.3,6.21,17.3,46.5,29.3,6.9
516.3,5.5200000000000005,29.3,33.8,17.7,19.2
516.2,3.84,33.1,30.8,18.6,17.5
516.2,4.29,28.5,35.9,18.7,17.0
516.2,6.2700000000000005,17.9,38.9,33.1,10.1
516.2,4.88,21.5,31.8,35.6,11.1
516.1,4.08,34.1,26.0,6.0,33.9
516.1,6.5200000000000005,21.3,39.9,30.2,8.6
516.1,5.39,32.2,34.3,17.3,16.2
516.1,8.73,15.6,34.3,41.3,8.9
516.0,8.75,22.2,32.4,34.5,10.9
516.0,5.57,24.1,32.1,19.7,24.0
515.9,12.49,24.9,41.8,25.2,8.2
515.9,3.81,34.9,36.8,12.0,16.3
515.9,6.04,29.4,29.1,18.4,23.1
515.8,6.21,24.0,37.2,18.4,20.4
515.7,6.38,21.0,35.4,27.4,16.2
515.7,4.54,28.6,37.5,16.3,17.6
515.7,6.49,20.9,46.9,23.8,8.4
515.5,5.89,19.6,42.7,27.1,10.6
515.5,4.33,30.3,34.4,16.3,19.0
515.5,4.64,29.2,33.4,10.2,27.2
515.4,4.17,27.5,35.0,18.6,18.9
515.2,6.58,15.1,36.9,40.6,7.4
515.2,7.32,16.9,32.1,38.1,12.8
515.2,5.779999999999999,30.7,39.3,17.5,12.6
515.2,8.629999999999999,24.8,34.1,27.8,13.3
515.1,3.12,31.3,39.9,14.5,14.3
515.0,7.1,25.9,34.9,26.5,12.7
515.0,3.5700000000000003,29.6,41.9,12.3,16.3
514.8,5.3,23.6,37.3,29.6,9.4
514.6,4.13,22.8,29.0,37.9,10.4
514.5,4.2299999999999995,25.0,44.4,17.2,13.4
514.1,5.68,27.1,38.3,22.9,11.7
514.1,5.68,36.3,37.1,11.3,15.3
